  x        ,A_vet_1        ,A_vet_2        ,A_vet_3        ,A_vet_4        ,A_vet_5
 83.6181,   0.0000016641,   0.0053634629,   1.5036353877,   0.5441216981,   1.3123739462
 84.4221,  -0.0000023094,   0.0049501196,   1.5086987370,   0.4911699850,   1.3521407385
 85.2261,   0.0000029536,   0.0045657404,   1.5132502823,   0.4375342166,   1.3877707706
 86.0302,  -0.0000035963,   0.0042158801,   1.5172729392,   0.3833164688,   1.4192010507
 86.8342,   0.0000042375,   0.0038863796,   1.5207838140,   0.3285570479,   1.4462817795
 87.6382,  -0.0000048768,   0.0035908477,   1.5237602453,   0.2733694218,   1.4689932655
 88.4422,   0.0000055143,   0.0033078004,   1.5262256211,   0.2177853844,   1.4871950144
 89.2462,  -0.0000061494,   0.0030587985,   1.5281517322,   0.1619293445,   1.5009115583
 90.0503,   0.0000067824,   0.0028150343,   1.5295682191,   0.1058242198,   1.5100126380
 90.8543,  -0.0000074127,   0.0026059182,   1.5304413595,   0.0496048921,   1.5145675858
 91.6583,   0.0000080404,   0.0023953367,   1.5308070105,  -0.0067149555,   1.5144569925
 92.4623,  -0.0000086651,   0.0022204447,   1.5306259779,  -0.0629904505,   1.5097952115
 93.2663,   0.0000092868,   0.0020378560,   1.5299402918,  -0.1192174945,   1.5004739777
 94.0704,  -0.0000099050,   0.0018923627,   1.5287053331,  -0.1752417185,   1.4866525269
 94.8744,   0.0000105200,   0.0017333531,   1.5269692553,  -0.2310689499,   1.4682337091
 95.6784,  -0.0000111311,   0.0016131448,   1.5246820669,  -0.2865358267,   1.4454211445
 96.4824,   0.0000117385,   0.0014739615,   1.5218979876,  -0.3416584304,   1.4181284482
 97.2864,  -0.0000123417,   0.0013755300,   1.5185617125,  -0.3962649175,   1.3866027713
 98.0905,   0.0000129408,   0.0012529835,   1.5147334641,  -0.4503819372,   1.3507678297
 98.8945,  -0.0000135353,   0.0011733361,   1.5103526880,  -0.5038296810,   1.3109131046
 99.6985,   0.0000141253,   0.0010647165,   1.5054855391,  -0.5566456629,   1.2669714438
