  x        ,A_vet_1        ,A_vet_2        ,A_vet_3        ,A_vet_4        ,A_vet_5
 45.9506,   0.0000000000,  -0.0025607829,   0.0405428335,  -0.0094085401,   0.0382053368
 46.3242,   0.0000000000,  -0.0024666055,   0.0406581089,  -0.0079607954,   0.0386797935
 46.6978,   0.0000000000,  -0.0023758763,   0.0407587998,  -0.0065021482,   0.0390399583
 47.0714,   0.0000000000,  -0.0022884679,   0.0408448689,  -0.0050345948,   0.0392847657
 47.4450,   0.0000000000,  -0.0022042587,   0.0409162827,  -0.0035601456,   0.0394134931
 47.8185,   0.0000000000,  -0.0021231307,   0.0409730151,  -0.0020808203,   0.0394257605
 48.1921,   0.0000000000,  -0.0020449706,   0.0410150513,  -0.0005986447,   0.0393215343
 48.5657,   0.0000000000,  -0.0019696690,   0.0410423726,   0.0008843508,   0.0391011164
 48.9393,   0.0000000000,  -0.0018971206,   0.0410549715,   0.0023661349,   0.0387651622
 49.3129,   0.0000000000,  -0.0018272242,   0.0410528369,   0.0038446784,   0.0383146629
 49.6865,   0.0000000000,  -0.0017598819,   0.0410359800,   0.0053179557,   0.0377509482
 50.0600,   0.0000000000,  -0.0016949996,   0.0410043970,   0.0067839492,   0.0370756872
 50.4336,   0.0000000000,  -0.0016324868,   0.0409581065,   0.0082406513,   0.0362908766
 50.8072,   0.0000000000,  -0.0015722560,   0.0408971198,   0.0096860658,   0.0353988297
 51.1808,   0.0000000000,  -0.0015142229,   0.0408214591,   0.0111182136,   0.0344021842
 51.5544,   0.0000000000,  -0.0014583064,   0.0407311581,   0.0125351325,   0.0333038867
 51.9280,   0.0000000000,  -0.0014044285,   0.0406262428,   0.0139348833,   0.0321071856
 52.3015,   0.0000000000,  -0.0013525138,   0.0405067503,   0.0153155476,   0.0308156088
 52.6751,   0.0000000000,  -0.0013024897,   0.0403727293,   0.0166752338,   0.0294329766
 53.0487,   0.0000000000,  -0.0012542863,   0.0402242243,   0.0180120803,   0.0279633775
 53.4223,   0.0000000000,  -0.0012078361,   0.0400612839,   0.0193242580,   0.0264111497
 53.7959,   0.0000000000,  -0.0011630743,   0.0398839749,   0.0206099655,   0.0247808825
 54.1694,   0.0000000000,  -0.0011199383,   0.0396923572,   0.0218674447,   0.0230773911
 54.5430,   0.0000000000,  -0.0010783679,   0.0394865014,   0.0230949726,   0.0213057101
 54.9166,   0.0000000000,  -0.0010383049,   0.0392664783,   0.0242908671,   0.0194710735
 55.2902,   0.0000000000,  -0.0009996932,   0.0390323661,   0.0254534930,   0.0175789036
 55.6638,   0.0000000000,  -0.0009624790,   0.0387842506,   0.0265812539,   0.0156347901
 56.0374,   0.0000000000,  -0.0009266102,   0.0385222249,   0.0276726075,   0.0136444801
 56.4109,   0.0000000000,  -0.0008920366,   0.0382463746,   0.0287260581,   0.0116138523
 56.7845,  -0.0000000000,  -0.0008587100,   0.0379568078,   0.0297401641,   0.0095489072
 57.1581,   0.0000000000,  -0.0008265837,   0.0376536213,   0.0307135358,   0.0074557471
 57.5317,   0.0000000000,  -0.0007956129,   0.0373369269,   0.0316448398,   0.0053405561
 57.9053,   0.0000000000,  -0.0007657542,   0.0370068364,   0.0325328000,   0.0032095851
 58.2789,   0.0000000000,  -0.0007369659,   0.0366634689,   0.0333762020,   0.0010691299
 58.6524,   0.0000000000,  -0.0007092078,   0.0363069512,   0.0341738872,  -0.0010744842
 59.0260,   0.0000000000,  -0.0006824411,   0.0359374061,   0.0349247642,  -0.0032149234
 59.3996,  -0.0000000000,  -0.0006566283,   0.0355549678,   0.0356278084,  -0.0053458633
 59.7732,   0.0000000000,  -0.0006317334,   0.0351597741,   0.0362820551,  -0.0074610068
 60.1468,  -0.0000000000,  -0.0006077216,   0.0347519666,   0.0368866026,  -0.0095541039
 60.5203,  -0.0000000000,  -0.0005845592,   0.0343316942,   0.0374406315,  -0.0116189709
 60.8939,  -0.0000000000,  -0.0005622140,   0.0338991024,   0.0379433781,  -0.0136495056
 61.2675,  -0.0000000000,  -0.0005406547,   0.0334543511,   0.0383941531,  -0.0156397074
 61.6411,  -0.0000000000,  -0.0005198511,   0.0329975970,   0.0387923419,  -0.0175836980
 62.0147,  -0.0000000000,  -0.0004997742,   0.0325290039,   0.0391373970,  -0.0194757301
 62.3883,   0.0000000000,  -0.0004803960,   0.0320487432,   0.0394288450,  -0.0213102158
 62.7618,  -0.0000000000,  -0.0004616892,   0.0315569825,   0.0396662876,  -0.0230817329
 63.1354,   0.0000000000,  -0.0004436278,   0.0310539007,   0.0398494042,  -0.0247850474
 63.5090,  -0.0000000000,  -0.0004261866,   0.0305396784,   0.0399779379,  -0.0264151264
 63.8826,   0.0000000000,  -0.0004093411,   0.0300145000,   0.0400517136,  -0.0279671531
 64.2562,   0.0000000000,  -0.0003930677,   0.0294785537,   0.0400706306,  -0.0294365417
 64.6298,   0.0000000000,  -0.0003773439,   0.0289320312,   0.0400346667,  -0.0308189504
 65.0033,   0.0000000000,  -0.0003621475,   0.0283751301,   0.0399438664,  -0.0321102925
 65.3769,   0.0000000000,  -0.0003474573,   0.0278080497,   0.0397983566,  -0.0333067551
 65.7505,   0.0000000000,  -0.0003332529,   0.0272309911,   0.0395983383,  -0.0344048031
 66.1241,   0.0000000000,  -0.0003195142,   0.0266441647,   0.0393440798,  -0.0354011878
 66.4977,   0.0000000000,  -0.0003062222,   0.0260477792,   0.0390359312,  -0.0362929702
 66.8712,  -0.0000000000,  -0.0002933583,   0.0254420489,   0.0386743173,  -0.0370775126
 67.2448,  -0.0000000000,  -0.0002809044,   0.0248271916,   0.0382597335,  -0.0377524979
 67.6184,   0.0000000000,  -0.0002688432,   0.0242034271,   0.0377927460,  -0.0383159295
 67.9920,  -0.0000000000,  -0.0002571578,   0.0235709790,   0.0372739956,  -0.0387661457
 68.3656,  -0.0000000000,  -0.0002458319,   0.0229300745,   0.0367041901,  -0.0391018093
 68.7392,  -0.0000000000,  -0.0002348496,   0.0222809445,   0.0360841118,  -0.0393219404
 69.1127,   0.0000000000,  -0.0002241956,   0.0216238219,   0.0354146101,  -0.0394258760
 69.4863,  -0.0000000000,  -0.0002138549,   0.0209589396,   0.0346966013,  -0.0394133180
 69.8599,   0.0000000000,  -0.0002038133,   0.0202865396,   0.0339310691,  -0.0392843001
 70.2335,   0.0000000000,  -0.0001940565,   0.0196068604,   0.0331190638,  -0.0390392020
 70.6071,   0.0000000000,  -0.0001845709,   0.0189201497,   0.0322616920,  -0.0386787504
 70.9807,   0.0000000000,  -0.0001753434,   0.0182266477,   0.0313601382,  -0.0382040106
 71.3542,   0.0000000000,  -0.0001663610,   0.0175266098,   0.0304156262,  -0.0376163833
 71.7278,   0.0000000000,  -0.0001576111,   0.0168202817,   0.0294294562,  -0.0369176045
 72.1014,  -0.0000000000,  -0.0001490816,   0.0161079206,   0.0284029786,  -0.0361097418
 72.4750,   0.0000000000,  -0.0001407604,   0.0153897814,   0.0273375958,  -0.0351951793
 72.8486,   0.0000000000,  -0.0001326361,   0.0146661205,   0.0262347721,  -0.0341766216
 73.2221,   0.0000000000,  -0.0001246971,   0.0139371976,   0.0250960123,  -0.0330570787
 73.5957,   0.0000000000,  -0.0001169324,   0.0132032745,   0.0239228811,  -0.0318398587
 73.9693,   0.0000000000,  -0.0001093312,   0.0124646146,   0.0227169823,  -0.0305285547
 74.3429,   0.0000000000,  -0.0001018828,   0.0117214834,   0.0214799698,  -0.0291270465
 74.7165,   0.0000000000,  -0.0000945768,   0.0109741474,   0.0202135351,  -0.0276394710
 75.0901,   0.0000000000,  -0.0000874030,   0.0102228737,   0.0189194139,  -0.0260702260
 75.4636,  -0.0000000000,  -0.0000803514,   0.0094679324,   0.0175993815,  -0.0244239457
 75.8372,   0.0000000000,  -0.0000734121,   0.0087095946,   0.0162552428,  -0.0227054991
 76.2108,   0.0000000000,  -0.0000665755,   0.0079481332,   0.0148888379,  -0.0209199619
 76.5844,  -0.0000000000,  -0.0000598319,   0.0071838191,   0.0135020418,  -0.0190726072
 76.9580,  -0.0000000000,  -0.0000531719,   0.0064169280,   0.0120967524,  -0.0171688981
 77.3316,  -0.0000000000,  -0.0000465863,   0.0056477347,   0.0106748939,  -0.0152144572
 77.7051,   0.0000000000,  -0.0000400658,   0.0048765158,   0.0092384135,  -0.0132150603
 78.0787,  -0.0000000000,  -0.0000336012,   0.0041035470,   0.0077892803,  -0.0111766150
 78.4523,  -0.0000000000,  -0.0000271837,   0.0033291061,   0.0063294782,  -0.0091051450
 78.8259,   0.0000000000,  -0.0000208042,   0.0025534709,   0.0048610065,  -0.0070067700
 79.1995,   0.0000000000,  -0.0000144537,   0.0017769195,   0.0033858770,  -0.0048876917
 79.5730,  -0.0000000000,  -0.0000081235,   0.0009997307,   0.0019061099,  -0.0027541709
 79.9466,  -0.0000000000,  -0.0000018046,   0.0002221833,   0.0004237320,  -0.0006125120
